用户号,一级标签,二级标签,推荐指数,业务品牌,用户状态,状态改变时间,预存款,套餐,销售品,资费,入网时间,销售品生效时间,销售品失效时间,机顶盒编号
10003,偏好节目类型,广告,0.793030413398,互动电视,正常        ,20090228,0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20070729,20160131,20500101,10198
10003,偏好节目类型,动作,0.753540937812,互动电视,正常        ,20090228,0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20070729,20160131,20500101,10198
10003,偏好节目类型,恐怖,0.748827277819,互动电视,正常        ,20090228,0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20070729,20160131,20500101,10198
10003,偏好节目类型,电视剧场,0.737066766146,互动电视,正常        ,20090228,0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20070729,20160131,20500101,10198
10003,偏好地区,其他,0.568930212645,互动电视,正常        ,20090228,0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20070729,20160131,20500101,10198
10003,偏好地区,台湾,0.552116587895,互动电视,正常        ,20090228,0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20070729,20160131,20500101,10198
10003,偏好地区,其他国家,0.523847735477,互动电视,正常        ,20090228,0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20070729,20160131,20500101,10198
10003,偏好地区,美国,0.510026161155,互动电视,正常        ,20090228,0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20070729,20160131,20500101,10198
10004,偏好节目类型,恐怖,2.94467285303,互动电视,正常        ,20090228,0,,互动600-捆快乐点2年-送12M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20070710,20140716,20500101,11186
10004,偏好节目类型,动作,2.82994855958,互动电视,正常        ,20090228,0,,互动600-捆快乐点2年-送12M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20070710,20140716,20500101,11186
10004,偏好节目类型,电视剧场,2.81907951046,互动电视,正常        ,20090228,0,,互动600-捆快乐点2年-送12M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20070710,20140716,20500101,11186
10004,偏好节目类型,历史,2.74432814729,互动电视,正常        ,20090228,0,,互动600-捆快乐点2年-送12M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20070710,20140716,20500101,11186
10004,偏好语种,其他,1.20227430241,互动电视,正常        ,20090228,0,,互动600-捆快乐点2年-送12M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20070710,20140716,20500101,11186
10004,偏好地区,其他国家,1.20145911826,互动电视,正常        ,20090228,0,,互动600-捆快乐点2年-送12M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20070710,20140716,20500101,11186
10004,偏好地区,法国,1.1466075629,互动电视,正常        ,20090228,0,,互动600-捆快乐点2年-送12M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20070710,20140716,20500101,11186
10004,偏好地区,大陆,1.10809019927,互动电视,正常        ,20090228,0,,互动600-捆快乐点2年-送12M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20070710,20140716,20500101,11186
10004,偏好地区,日本,1.09449041258,互动电视,正常        ,20090228,0,,互动600-捆快乐点2年-送12M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20070710,20140716,20500101,11186
10004,偏好语种,日语,1.0582449761,互动电视,正常        ,20090228,0,,互动600-捆快乐点2年-送12M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20070710,20140716,20500101,11186
10004,偏好语种,英语,1.01781389966,互动电视,正常        ,20090228,0,,互动600-捆快乐点2年-送12M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20070710,20140716,20500101,11186
10004,偏好语种,国语,0.802317150897,互动电视,正常        ,20090228,0,,互动600-捆快乐点2年-送12M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20070710,20140716,20500101,11186
10012,偏好节目类型,大陆剧场,1.86888348051,互动电视,正常        ,20171031,250.57,,互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月),互动基本套餐(26.5元/月)-捆绑600元时移回看(30个月)(资费),20070811,20121202,20500101,10149
