用户号,一级标签,二级标签,推荐指数
10003,偏好节目类型,广告,0.793030413398
10003,偏好节目类型,动作,0.753540937812
10003,偏好节目类型,恐怖,0.748827277819
10003,偏好节目类型,电视剧场,0.737066766146
10003,偏好地区,其他,0.568930212645
10003,偏好地区,台湾,0.552116587895
10003,偏好地区,其他国家,0.523847735477
10003,偏好地区,美国,0.510026161155
10004,偏好节目类型,恐怖,2.94467285303
10004,偏好节目类型,动作,2.82994855958
10004,偏好节目类型,电视剧场,2.81907951046
10004,偏好节目类型,历史,2.74432814729
10004,偏好语种,其他,1.20227430241
10004,偏好地区,其他国家,1.20145911826
10004,偏好地区,法国,1.1466075629
10004,偏好地区,大陆,1.10809019927
10004,偏好地区,日本,1.09449041258
10004,偏好语种,日语,1.0582449761
10004,偏好语种,英语,1.01781389966
10004,偏好语种,国语,0.802317150897
10012,偏好节目类型,大陆剧场,1.86888348051
10012,偏好节目类型,恐怖,1.8593067964
10012,偏好节目类型,动作,1.84166185188
10012,偏好节目类型,综艺娱乐,1.8270055558
10012,偏好语种,其他,1.08091985222
10012,偏好语种,国语,1.01723096316
10012,偏好地区,其他国家,0.971328015074
10012,偏好语种,日语,0.946049298272
10012,偏好地区,法国,0.937659699933
10012,偏好地区,美国,0.923750747514
10012,偏好语种,英语,0.909085617594
10012,偏好地区,大陆,0.906343158044
10018,偏好节目类型,电视剧场,2.14096519686
10018,偏好节目类型,恐怖,2.09279873801
10018,偏好节目类型,综艺娱乐,2.05287744632
10018,偏好节目类型,历史,2.02351449835
10018,偏好语种,其他,0.900093132989
10018,偏好地区,其他国家,0.888615439456
10018,偏好地区,法国,0.8567749558
10018,偏好地区,美国,0.847284532
10018,偏好语种,国语,0.841885614561
10018,偏好地区,大陆,0.817338877918
10018,偏好语种,日语,0.779867228672
10018,偏好语种,英语,0.757062429158
10025,偏好节目类型,生活服务,0.765958323961
10025,偏好地区,其他,0.727462055186
10025,偏好语种,德语,0.724089968871
10025,偏好节目类型,广告,0.720337855086
10025,偏好语种,法语,0.701305042958
10025,偏好地区,台湾,0.689901908683
10025,偏好节目类型,恐怖,0.673155147746
10025,偏好节目类型,大陆剧场,0.651264560154
10025,偏好地区,其他国家,0.641863092148
10025,偏好地区,法国,0.641784194322
10025,偏好语种,其他,0.629018752291
10025,偏好语种,国语,0.581659158605
10026,偏好节目类型,恐怖,1.42227872207
10026,偏好节目类型,动作,1.36365801623
10026,偏好节目类型,纪录片,1.36031093848
10026,偏好节目类型,大陆剧场,1.35882357214
10026,偏好地区,台湾,1.30475097963
10026,偏好语种,法语,1.20282617963
10026,偏好地区,其他国家,1.19591208491
10026,偏好地区,法国,1.16317005862
10026,偏好地区,大陆,1.13981366744
10026,偏好语种,其他,1.08394680155
10026,偏好语种,日语,0.964752756327
10026,偏好语种,英语,0.916271416338
10039,偏好节目类型,广告,0.980776997039
10039,偏好节目类型,恐怖,0.901357997575
10039,偏好节目类型,纪录片,0.864598190423
10039,偏好节目类型,综艺娱乐,0.862463158796
10050,偏好节目类型,综艺娱乐,1.79472120763
10050,偏好节目类型,动作,1.7776350522
10050,偏好节目类型,电视剧场,1.77148621914
10050,偏好节目类型,大陆剧场,1.76276713186
10050,偏好语种,其他,0.991204494361
10050,偏好地区,其他国家,0.93953352477
10050,偏好语种,国语,0.937107574272
10050,偏好地区,法国,0.903973392528
10050,偏好地区,美国,0.89464752138
10050,偏好地区,日本,0.882800177947
10050,偏好语种,日语,0.876377859773
10050,偏好语种,英语,0.834437586316
10051,偏好语种,德语,1.18891696029
10051,偏好语种,国语,1.0324907462
10051,偏好地区,其他,0.980894323887
10051,偏好语种,日语,0.970659236101
10051,偏好节目类型,生活服务,0.959844717551
10051,偏好语种,英语,0.926572568997
10051,偏好地区,法国,0.920943264185
10051,偏好地区,美国,0.916369204522
10051,偏好节目类型,恐怖,0.907428743216
10051,偏好节目类型,广告,0.900158767979
10051,偏好节目类型,动作,0.888056152614
10051,偏好地区,大陆,0.864054006878
10055,偏好节目类型,生活服务,0.773657603861
10055,偏好节目类型,广告,0.727578565965
10055,偏好节目类型,恐怖,0.679921586254
10055,偏好节目类型,大陆剧场,0.657810958282
10055,偏好地区,其他,0.653896149364
10055,偏好语种,德语,0.650865071329
10055,偏好语种,法语,0.630384311938
10055,偏好地区,台湾,0.620134340081
10055,偏好地区,其他国家,0.576953535077
10055,偏好地区,法国,0.576882615936
10055,偏好语种,其他,0.565408102139
10055,偏好语种,国语,0.522837832356
10056,偏好地区,其他,1.10709359057
10056,偏好地区,台湾,1.07770529949
10056,偏好地区,其他国家,1.02516184937
10056,偏好地区,美国,1.00329586121
10056,偏好节目类型,生活服务,0.815035784442
10056,偏好节目类型,广告,0.75985844537
10056,偏好节目类型,综艺娱乐,0.7188696903
10056,偏好节目类型,大陆剧场,0.704487351603
10056,偏好语种,德语,0.668958579805
10056,偏好语种,法语,0.647908472311
10056,偏好语种,其他,0.581125977839
10056,偏好语种,国语,0.537372289908
10058,偏好节目类型,恐怖,1.80668808474
10058,偏好节目类型,纪录片,1.76370526292
