用户号,产品名称,推荐指数
10770,精彩点,1.29624892895
10770,珠江在线,1.28989856012
10770,免费睇,1.28743741413
10770,今日上线,1.21807041347
10770,院线大片,1.08026910402
10770,热门影视,1.02507409122
10770,热点专题,0.977639769927
10770,动漫剧场,0.93304849773
10770,少儿乐园,0.534970566028
10129,少儿乐园,0.558907846107
10289,少儿乐园,1.62850634717
10289,精彩点,1.41143228905
10289,今日上线,1.39383378846
10289,院线大片,1.21532900581
10289,热门影视,1.19687683038
10289,珠江在线,1.06311702025
10289,热点专题,1.0361519086
10289,动漫剧场,1.02290155104
10289,潮语专区,0.636724775526
10289,免费睇,0.518593612535
10246,精彩点,0.731253828316
10246,珠江在线,0.709104527472
10246,热点专题,0.700698331745
10246,免费睇,0.687370679883
10246,今日上线,0.669552270497
10246,动漫剧场,0.648267870724
10246,潮语专区,0.614031692175
10246,院线大片,0.592629635729
10246,热门影视,0.546356797612
10929,少儿乐园,0.822782721511
10929,精彩点,0.639625771427
10929,免费睇,0.634188860532
10929,珠江在线,0.634160782484
10929,热点专题,0.622820799995
10929,动漫剧场,0.605691463947
10929,今日上线,0.60217992361
10929,院线大片,0.529146325714
10929,热门影视,0.5
10696,少儿乐园,0.71092319409
10696,精彩点,0.552666924763
10696,免费睇,0.547969176549
10696,珠江在线,0.547944915788
10696,热点专题,0.538146634466
10696,动漫剧场,0.523346077797
10696,今日上线,0.520311940829
10307,精彩点,1.02487399643
10307,珠江在线,0.997953447477
10307,热点专题,0.984990209445
10307,免费睇,0.973135508638
10307,今日上线,0.943294937387
10307,动漫剧场,0.920022830352
10307,院线大片,0.833781508189
10307,热门影视,0.772286278592
10960,潮语专区,0.608075201569
10960,少儿乐园,0.600699931098
10960,动漫剧场,0.598546754676
10960,热点专题,0.594318801998
10960,珠江在线,0.589303131888
10960,今日上线,0.549385507728
10960,精彩点,0.536518104802
10257,少儿乐园,0.754591758121
10257,珠江在线,0.737262658333
10257,潮语专区,0.725756301388
10257,免费睇,0.714287634807
10257,动漫剧场,0.69799769771
10257,精彩点,0.685864673024
10257,院线大片,0.587671232877
10257,热门影视,0.587671232877
10257,今日上线,0.571800849718
10249,少儿乐园,0.724450332155
10249,精彩点,0.563182831203
10249,免费睇,0.558395696275
10249,珠江在线,0.55837097389
10249,热点专题,0.548386255123
10249,动漫剧场,0.533304079883
10249,今日上线,0.530212210673
10939,少儿乐园,0.824682877821
10939,潮语专区,0.819576199428
10939,动漫剧场,0.809097900638
10939,珠江在线,0.806244102564
10939,今日上线,0.753801903685
10939,精彩点,0.736874772628
10939,院线大片,0.65
10939,热门影视,0.65
10939,热点专题,0.553732727457
11084,少儿乐园,0.822782721511
11084,精彩点,0.639625771427
11084,免费睇,0.634188860532
11084,珠江在线,0.634160782484
11084,热点专题,0.622820799995
11084,动漫剧场,0.605691463947
11084,今日上线,0.60217992361
11084,院线大片,0.529146325714
11084,热门影视,0.5
11087,精彩点,1.03187064826
11087,珠江在线,1.00596230773
11087,热点专题,0.992567731844
11087,免费睇,0.982612017359
11087,今日上线,0.951155543047
11087,动漫剧场,0.929627366462
