用户号,产品名称,推荐指数
10770,德语,0.629244348068
10770,法语,0.609443927584
10770,其他,0.546626126205
10770,国语,0.505469974436
10289,德语,0.932683975522
10289,国语,0.805169491678
10289,日语,0.752303575645
10289,无,0.727149076924
10289,英语,0.724809879601
10289,法语,0.698505108226
10289,其他,0.686649044791
10246,法语,1.28828653134
10246,国语,1.10530065601
10246,日语,1.07128436932
10246,无,1.00551885461
10246,粤语,0.999611233289
10246,英语,0.968790888948
11291,法语,0.97691376346
11291,其他,0.87384496356
11291,国语,0.822814240823
11291,日语,0.762222400374
11291,无,0.736691145641
11291,英语,0.733682578398
11037,法语,0.535182030911
11043,德语,0.690835210668
11043,法语,0.669096711628
11043,其他,0.600130261341
11043,国语,0.554945717586
11043,日语,0.503321070676
11043,英语,0.502234315795
10929,德语,0.751231226071
10929,法语,0.72759224671
10929,其他,0.652596429753
10929,国语,0.603461643801
10929,日语,0.547323731032
10929,英语,0.546141967004
10929,无,0.536609476581
10696,德语,0.649099317202
10696,法语,0.628674120764
10696,其他,0.563874187148
10696,国语,0.521419407707
10307,德语,0.52621642455
10307,法语,0.509657981866
10960,法语,0.862652916518
10960,德语,0.801618861307
10960,国语,0.739344277027
10960,日语,0.728338656425
10960,无,0.676862189702
10960,英语,0.649048086153
10960,粤语,0.645500233603
10939,粤语,0.634217908382
10939,德语,0.579863374963
10939,其他,0.578784646243
10939,国语,0.532772963814
11084,德语,0.751231226071
11084,法语,0.72759224671
11084,其他,0.652596429753
11084,国语,0.603461643801
11084,日语,0.547323731032
11084,英语,0.546141967004
11084,无,0.536609476581
10170,法语,1.05147188399
10170,其他,0.940045625111
10170,国语,0.888211338107
10170,日语,0.826053487403
10170,无,0.796267791658
10170,英语,0.789759214317
10429,德语,0.748447895559
10429,其他,0.71375243592
10429,国语,0.657951256983
10429,日语,0.604959079069
10429,英语,0.600931791549
10429,无,0.596141317321
10429,粤语,0.578401396092
10209,法语,0.879116276061
10209,德语,0.875460374853
10209,其他,0.803653040611
10209,日语,0.697525514296
10209,英语,0.682673301129
10209,无,0.675584528946
11067,德语,0.882701219425
11067,其他,0.825258192581
11067,国语,0.761227678807
11067,日语,0.69796642045
11067,英语,0.693957478595
11067,无,0.687084350871
10954,德语,0.612963585548
